Round,Day,Date,Time,Score,Referee,Notes,Year,home_team,away_team,home_score,away_score
Round of 32,,2026-01-01,,,,,2026,Germany,Paraguay,1,1
Round of 32,,2026-01-01,,,,,2026,France,Sweden,3,0
Round of 32,,2026-01-01,,,,,2026,South Africa,Canada,0,1
Round of 32,,2026-01-01,,,,,2026,Netherlands,Morocco,1,1
Round of 32,,2026-01-01,,,,,2026,Portugal,Croatia,2,1
Round of 32,,2026-01-01,,,,,2026,Spain,Austria,3,0
Round of 32,,2026-01-01,,,,,2026,United States,Bosnia-Herzegovina,2,0
Round of 32,,2026-01-01,,,,,2026,Belgium,Senegal,3,2
Round of 32,,2026-01-01,,,,,2026,Brazil,Japan,2,1
Round of 32,,2026-01-01,,,,,2026,Côte d'Ivoire,Norway,1,2
Round of 32,,2026-01-01,,,,,2026,Mexico,Ecuador,2,0
Round of 32,,2026-01-01,,,,,2026,England,Congo DR,2,1
Round of 32,,2026-01-01,,,,,2026,Argentina,Cape Verde,3,2
Round of 32,,2026-01-01,,,,,2026,Australia,Egypt,1,1
Round of 32,,2026-01-01,,,,,2026,Switzerland,Algeria,2,0
Round of 32,,2026-01-01,,,,,2026,Colombia,Ghana,1,0
