key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw
,,,,,group stage,,1,0,,,2026-06-11,13:00,,,,,,Mexico,,,South Africa,,,2,0,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-11,20:00,,,,,,South Korea,,,Czech Republic,,,2,1,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-12,15:00,,,,,,Canada,,,Bosnia and Herzegovina,,,1,1,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-12,18:00,,,,,,United States,,,Paraguay,,,1,1,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-13,12:00,,,,,,Qatar,,,Switzerland,,,1,1,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-13,18:00,,,,,,Brazil,,,Morocco,,,1,1,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-13,21:00,,,,,,Haiti,,,Scotland,,,0,1,,,0,0,,0,0,,0,1,0
,,,,,group stage,,1,0,,,2026-06-13,21:00,,,,,,Australia,,,Turkey,,,2,0,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-14,12:00,,,,,,Germany,,,Curacao,,,7,1,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-14,15:00,,,,,,Netherlands,,,Japan,,,2,2,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-14,19:00,,,,,,Ivory Coast,,,Ecuador,,,1,0,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-14,20:00,,,,,,Sweden,,,Tunisia,,,5,1,,,0,0,,0,0,,1,0,0
,,,,,group stage,,1,0,,,2026-06-15,12:00,,,,,,Belgium,,,Egypt,,,1,1,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-15,12:00,,,,,,Spain,,,Cabo Verde,,,0,0,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-15,18:00,,,,,,Iran,,,New Zealand,,,2,2,,,0,0,,0,0,,0,0,1
,,,,,group stage,,1,0,,,2026-06-15,18:00,,,,,,Saudi Arabia,,,Uruguay,,,1,1,,,0,0,,0,0,,0,0,1
